asm	db	cat	N
gallo_v1_metazoa_odb10	metazoa_odb10	CS	471
gallo_v1_mollusca_odb10	mollusca_odb10	CS	2222
gallo_v2_metazoa_odb10	metazoa_odb10	CS	495
gallo_v2_mollusca_odb10	mollusca_odb10	CS	2494
gallo_v3_metazoa_odb10	metazoa_odb10	CS	616
gallo_v3_mollusca_odb10	mollusca_odb10	CS	2838
gallo_v4_metazoa_odb10	metazoa_odb10	CS	598
gallo_v4_mollusca_odb10	mollusca_odb10	CS	2724
gallo_v5_metazoa_odb10	metazoa_odb10	CS	649
gallo_v5_mollusca_odb10	mollusca_odb10	CS	3102
gallo_v6_metazoa_odb10	metazoa_odb10	CS	653
gallo_v6_mollusca_odb10	mollusca_odb10	CS	3097
gallo_v7_metazoa_odb10	metazoa_odb10	CS	727
gallo_v7_mollusca_odb10	mollusca_odb10	CS	3604
edu_v1_metazoa_odb10	metazoa_odb10	CS	601
edu_v1_mollusca_odb10	mollusca_odb10	CS	2724
edu_v2_metazoa_odb10	metazoa_odb10	CS	612
edu_v2_mollusca_odb10	mollusca_odb10	CS	2711
edu_v3_metazoa_odb10	metazoa_odb10	CS	647
edu_v3_mollusca_odb10	mollusca_odb10	CS	2932
edu_v4_metazoa_odb10	metazoa_odb10	CS	660
edu_v4_mollusca_odb10	mollusca_odb10	CS	2971
edu_v5_metazoa_odb10	metazoa_odb10	CS	680
edu_v5_mollusca_odb10	mollusca_odb10	CS	3358
edu_v6_metazoa_odb10	metazoa_odb10	CS	687
edu_v6_mollusca_odb10	mollusca_odb10	CS	3366
edu_v7_metazoa_odb10	metazoa_odb10	CS	726
edu_v7_mollusca_odb10	mollusca_odb10	CS	3824
tros_v1_metazoa_odb10	metazoa_odb10	CS	431
tros_v1_mollusca_odb10	mollusca_odb10	CS	2365
tros_v2_metazoa_odb10	metazoa_odb10	CS	407
tros_v2_mollusca_odb10	mollusca_odb10	CS	2071
tros_v3_metazoa_odb10	metazoa_odb10	CS	575
tros_v3_mollusca_odb10	mollusca_odb10	CS	2738
tros_v4_metazoa_odb10	metazoa_odb10	CS	570
tros_v4_mollusca_odb10	mollusca_odb10	CS	2786
tros_v5_metazoa_odb10	metazoa_odb10	CS	621
tros_v5_mollusca_odb10	mollusca_odb10	CS	3040
tros_v6_metazoa_odb10	metazoa_odb10	CS	618
tros_v6_mollusca_odb10	mollusca_odb10	CS	3032
tros_v7_metazoa_odb10	metazoa_odb10	CS	701
tros_v7_mollusca_odb10	mollusca_odb10	CS	3511
coruscus_GCA017311375_metazoa_odb10	metazoa_odb10	CS	832
coruscus_GCA017311375_mollusca_odb10	mollusca_odb10	CS	4232
gallo_GCA900618805_metazoa_odb10	metazoa_odb10	CS	681
gallo_GCA900618805_mollusca_odb10	mollusca_odb10	CS	3447
edu_GCA905397895_metazoa_odb10	metazoa_odb10	CS	662
edu_GCA905397895_mollusca_odb10	mollusca_odb10	CS	3644
eduam_GCA019925415_metazoa_odb10	metazoa_odb10	CS	754
eduam_GCA019925415_mollusca_odb10	mollusca_odb10	CS	3782
gallo_v1_metazoa_odb10	metazoa_odb10	CD	293
gallo_v1_mollusca_odb10	mollusca_odb10	CD	1133
gallo_v2_metazoa_odb10	metazoa_odb10	CD	285
gallo_v2_mollusca_odb10	mollusca_odb10	CD	877
gallo_v3_metazoa_odb10	metazoa_odb10	CD	146
gallo_v3_mollusca_odb10	mollusca_odb10	CD	421
gallo_v4_metazoa_odb10	metazoa_odb10	CD	149
gallo_v4_mollusca_odb10	mollusca_odb10	CD	438
gallo_v5_metazoa_odb10	metazoa_odb10	CD	147
gallo_v5_mollusca_odb10	mollusca_odb10	CD	428
gallo_v6_metazoa_odb10	metazoa_odb10	CD	137
gallo_v6_mollusca_odb10	mollusca_odb10	CD	423
gallo_v7_metazoa_odb10	metazoa_odb10	CD	112
gallo_v7_mollusca_odb10	mollusca_odb10	CD	316
edu_v1_metazoa_odb10	metazoa_odb10	CD	257
edu_v1_mollusca_odb10	mollusca_odb10	CD	705
edu_v2_metazoa_odb10	metazoa_odb10	CD	207
edu_v2_mollusca_odb10	mollusca_odb10	CD	634
edu_v3_metazoa_odb10	metazoa_odb10	CD	165
edu_v3_mollusca_odb10	mollusca_odb10	CD	331
edu_v4_metazoa_odb10	metazoa_odb10	CD	187
edu_v4_mollusca_odb10	mollusca_odb10	CD	376
edu_v5_metazoa_odb10	metazoa_odb10	CD	196
edu_v5_mollusca_odb10	mollusca_odb10	CD	388
edu_v6_metazoa_odb10	metazoa_odb10	CD	185
edu_v6_mollusca_odb10	mollusca_odb10	CD	374
edu_v7_metazoa_odb10	metazoa_odb10	CD	166
edu_v7_mollusca_odb10	mollusca_odb10	CD	307
tros_v1_metazoa_odb10	metazoa_odb10	CD	352
tros_v1_mollusca_odb10	mollusca_odb10	CD	1149
tros_v2_metazoa_odb10	metazoa_odb10	CD	369
tros_v2_mollusca_odb10	mollusca_odb10	CD	1465
tros_v3_metazoa_odb10	metazoa_odb10	CD	174
tros_v3_mollusca_odb10	mollusca_odb10	CD	632
tros_v4_metazoa_odb10	metazoa_odb10	CD	186
tros_v4_mollusca_odb10	mollusca_odb10	CD	539
tros_v5_metazoa_odb10	metazoa_odb10	CD	186
tros_v5_mollusca_odb10	mollusca_odb10	CD	617
tros_v6_metazoa_odb10	metazoa_odb10	CD	184
tros_v6_mollusca_odb10	mollusca_odb10	CD	617
tros_v7_metazoa_odb10	metazoa_odb10	CD	158
tros_v7_mollusca_odb10	mollusca_odb10	CD	528
coruscus_GCA017311375_metazoa_odb10	metazoa_odb10	CD	17
coruscus_GCA017311375_mollusca_odb10	mollusca_odb10	CD	56
gallo_GCA900618805_metazoa_odb10	metazoa_odb10	CD	74
gallo_GCA900618805_mollusca_odb10	mollusca_odb10	CD	288
edu_GCA905397895_metazoa_odb10	metazoa_odb10	CD	224
edu_GCA905397895_mollusca_odb10	mollusca_odb10	CD	730
eduam_GCA019925415_metazoa_odb10	metazoa_odb10	CD	112
eduam_GCA019925415_mollusca_odb10	mollusca_odb10	CD	409
gallo_v1_metazoa_odb10	metazoa_odb10	F	138
gallo_v1_mollusca_odb10	mollusca_odb10	F	393
gallo_v2_metazoa_odb10	metazoa_odb10	F	131
gallo_v2_mollusca_odb10	mollusca_odb10	F	419
gallo_v3_metazoa_odb10	metazoa_odb10	F	133
gallo_v3_mollusca_odb10	mollusca_odb10	F	407
gallo_v4_metazoa_odb10	metazoa_odb10	F	142
gallo_v4_mollusca_odb10	mollusca_odb10	F	429
gallo_v5_metazoa_odb10	metazoa_odb10	F	102
gallo_v5_mollusca_odb10	mollusca_odb10	F	391
gallo_v6_metazoa_odb10	metazoa_odb10	F	106
gallo_v6_mollusca_odb10	mollusca_odb10	F	393
gallo_v7_metazoa_odb10	metazoa_odb10	F	70
gallo_v7_mollusca_odb10	mollusca_odb10	F	346
edu_v1_metazoa_odb10	metazoa_odb10	F	65
edu_v1_mollusca_odb10	mollusca_odb10	F	368
edu_v2_metazoa_odb10	metazoa_odb10	F	100
edu_v2_mollusca_odb10	mollusca_odb10	F	381
edu_v3_metazoa_odb10	metazoa_odb10	F	99
edu_v3_mollusca_odb10	mollusca_odb10	F	370
edu_v4_metazoa_odb10	metazoa_odb10	F	70
edu_v4_mollusca_odb10	mollusca_odb10	F	364
edu_v5_metazoa_odb10	metazoa_odb10	F	49
edu_v5_mollusca_odb10	mollusca_odb10	F	328
edu_v6_metazoa_odb10	metazoa_odb10	F	51
edu_v6_mollusca_odb10	mollusca_odb10	F	330
edu_v7_metazoa_odb10	metazoa_odb10	F	34
edu_v7_mollusca_odb10	mollusca_odb10	F	280
